Supplementary text for Orton et al. 2014. Mid-Infrared Spectroscopy of Uranus from the
Spitzer Infared Spectrometer: 1. Determination of the Mean Temperature Structure of the
Upper Troposphere and Stratosphere.

wl=wavelength (micrometers)
wn=wavenumber (cm-1)
rad=radiance (W cm-1 sr-1 (cm-1)-1); sigma = 1 standard deviation)
Tb=brightness temperature (K); sigma = 1 standard deviation)


Short-Low1 spectrum

    wl      wn         rad        sigma(rad)     Tb      sigma(Tb)    
   6.67    1499.51    4.492e-06    3.642e-07     94.16     0.33
   6.70    1492.74    3.856e-06    2.282e-07     93.17     0.24
   6.73    1486.03    3.599e-06    1.202e-07     92.52     0.13
   6.76    1479.38    2.922e-06    3.152e-07     91.34     0.42
   6.79    1472.79    3.693e-06    3.575e-07     91.91     0.39
   6.82    1466.26    3.436e-06    3.895e-07     91.27     0.45
   6.85    1459.79    4.422e-06    2.611e-07     91.92     0.24
   6.88    1453.37    5.625e-06    6.398e-07     92.55     0.47
   6.91    1447.01    7.276e-06    8.454e-07     93.26     0.49
   6.94    1440.71    4.810e-06    3.474e-07     91.22     0.29
   6.97    1434.46    3.175e-06    2.571e-07     89.24     0.31
   7.00    1428.26    2.296e-06    2.000e-07     87.67     0.33
   7.03    1422.12    2.887e-06    5.631e-07     88.21     0.75
   7.06    1416.03    2.696e-06    4.749e-07     87.62     0.67
   7.09    1409.99    1.647e-06    2.720e-07     85.48     0.60
   7.12    1404.00    2.668e-06    4.072e-07     86.93     0.57
   7.15    1398.07    3.852e-06    5.384e-07     88.00     0.54
   7.18    1392.18    4.091e-06    4.469e-07     87.91     0.42
   7.21    1386.34    3.203e-06    2.591e-07     86.66     0.31
   7.24    1380.56    3.037e-06    4.046e-07     86.15     0.50
   7.27    1374.82    3.367e-06    3.573e-07     86.22     0.40
   7.30    1369.12    4.125e-06    3.547e-07     86.68     0.33
   7.33    1363.48    5.178e-06    5.039e-07     87.24     0.38
   7.36    1357.88    4.598e-06    8.905e-07     86.48     0.75
   7.39    1352.33    7.631e-06    6.990e-07     88.15     0.37
   7.42    1346.82    1.188e-05    9.676e-07     89.63     0.34
   7.46    1341.35    1.321e-05    7.178e-07     89.76     0.23
   7.49    1335.93    1.370e-05    7.448e-07     89.60     0.23
   7.52    1330.56    1.385e-05    8.997e-07     89.34     0.27
 
 Short-Low Bonus spectrum
 
    wl      wn         rad        sigma(rad)     Tb      sigma(Tb)    
   6.88    1453.37    5.625e-06    6.398e-07     92.55     0.47
   6.91    1447.01    7.276e-06    8.454e-07     93.26     0.49
   6.94    1440.71    4.810e-06    3.474e-07     91.22     0.29
   6.97    1434.46    3.175e-06    2.571e-07     89.24     0.31
   7.00    1428.26    2.296e-06    2.000e-07     87.67     0.33
   7.03    1422.12    2.887e-06    5.631e-07     88.21     0.75
   7.06    1416.03    2.696e-06    4.749e-07     87.62     0.67
   7.09    1409.99    1.647e-06    2.720e-07     85.48     0.60
   7.12    1404.00    2.668e-06    4.072e-07     86.93     0.57
   7.15    1398.07    3.852e-06    5.384e-07     88.00     0.54
   7.18    1392.18    4.091e-06    4.469e-07     87.91     0.42
   7.21    1386.34    3.203e-06    2.591e-07     86.66     0.31
   7.24    1380.56    3.037e-06    4.046e-07     86.15     0.50
   7.27    1374.82    3.367e-06    3.573e-07     86.22     0.40
   7.30    1369.12    4.125e-06    3.547e-07     86.68     0.33
   7.33    1363.48    5.178e-06    5.039e-07     87.24     0.38
   7.36    1357.88    4.598e-06    8.905e-07     86.48     0.75
   7.39    1352.33    7.631e-06    6.990e-07     88.15     0.37
   7.42    1346.82    1.188e-05    9.676e-07     89.63     0.34
   7.46    1341.35    1.321e-05    7.178e-07     89.76     0.23
   7.49    1335.93    1.370e-05    7.448e-07     89.60     0.23
   7.52    1330.56    1.385e-05    8.997e-07     89.34     0.27
 
 Long-Low spectrum

    wl      wn         rad        sigma(rad)     Tb      sigma(Tb)    
  13.98     715.07    1.109e-03    4.880e-05     67.76     0.20
  14.07     710.77    1.090e-03    6.432e-05     67.36     0.26
  14.15     706.51    1.082e-03    6.782e-05     67.00     0.28
  14.24     702.31    9.824e-04    7.079e-05     66.26     0.31
  14.32     698.16    8.238e-04    6.884e-05     65.19     0.35
  14.41     694.06    6.614e-04    5.991e-05     63.97     0.37
  14.49     690.00    4.986e-04    4.872e-05     62.53     0.39
  14.58     685.99    3.564e-04    3.674e-05     60.95     0.39
  14.66     682.03    2.466e-04    2.108e-05     59.31     0.31
  14.75     678.11    1.757e-04    9.778e-06     57.85     0.19
  14.83     674.24    1.408e-04    5.259e-06     56.83     0.12
  14.92     670.42    1.363e-04    5.689e-06     56.45     0.14
